,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
1,David Astbury,11828,RI,CA,1,7,3,6,13,0,0,0,2,1,0,0,1,3,0,0,7,6,1,0,2,0,0,100
2,Dan Butler,12490,RI,CA,1,12,1,7,19,2,1,0,3,0,5,1,2,0,2,0,5,11,0,0,0,0,1,86
3,Josh Caddy,12010,RI,CA,1,9,3,8,17,1,1,0,2,3,0,3,2,0,2,0,9,9,0,0,0,0,1,77
4,Jason Castagna,12431,RI,CA,1,12,3,8,20,2,4,0,4,1,5,2,4,2,3,0,10,13,0,3,0,0,1,83
5,Reece Conca,11888,RI,CA,1,13,4,6,19,0,1,0,5,2,3,0,3,0,0,0,4,14,0,0,2,0,0,81
6,Trent Cotchin,11666,RI,CA,1,11,3,10,21,1,0,0,8,2,5,8,3,1,1,0,12,10,0,1,2,0,0,79
7,Shane Edwards,11557,RI,CA,1,5,3,10,15,1,1,0,2,0,0,1,1,0,0,0,9,8,0,2,1,2,0,68
8,Brandon Ellis,12034,RI,CA,1,11,0,10,21,0,0,0,1,4,3,1,2,0,2,0,6,14,0,0,1,0,0,89
9,Ben Griffiths,11850,RI,CA,1,5,4,4,9,0,0,8,6,1,4,1,4,0,3,0,6,4,1,0,1,0,0,80
10,Shaun Grigg,11594,RI,CA,1,16,4,11,27,1,0,0,6,0,8,4,3,2,1,0,8,19,0,0,3,0,2,85
11,Dylan Grimes,11879,RI,CA,1,4,1,7,11,0,0,0,7,3,1,0,1,0,0,0,6,5,0,0,3,0,0,81
12,Bachar Houli,11566,RI,CA,1,4,1,10,14,0,0,0,3,0,2,1,1,0,0,0,5,9,0,0,0,0,0,69
13,Taylor Hunt,11851,RI,CA,1,1,0,8,9,0,0,0,0,0,0,0,2,0,1,0,5,4,0,0,0,0,0,77
14,Sam Lloyd,12263,RI,CA,1,5,3,5,10,1,0,0,1,0,1,0,3,1,0,0,6,3,1,1,0,0,0,73
15,Dustin Martin,11794,RI,CA,1,23,5,10,33,4,0,0,4,4,6,6,5,1,2,3,13,21,1,1,1,0,4,89
16,Kamdyn McIntosh,12317,RI,CA,1,11,5,5,16,0,0,0,1,1,5,0,3,0,0,0,4,12,1,0,4,1,0,76
17,Toby Nankervis,12374,RI,CA,1,7,3,1,8,2,0,27,3,2,2,3,0,0,0,0,6,1,3,1,1,0,0,78
18,Dion Prestia,11917,RI,CA,1,15,2,13,28,1,0,0,5,3,3,6,2,0,0,2,9,17,0,0,1,0,1,77
19,Alex Rance,11733,RI,CA,1,7,4,2,9,0,0,0,3,3,1,0,4,0,3,0,5,6,0,0,8,0,0,93
20,Jack Riewoldt,11576,RI,CA,1,10,5,2,12,1,1,0,7,0,4,1,4,2,1,0,6,5,1,4,2,0,1,96
