Season,Player,ID,Team
1897,George Calleson,4454,Collingwood
1897,Dick Condon,4455,Collingwood
1897,Charlie Dow,4456,Collingwood
1897,Harry Dowdall,4457,Collingwood
1897,Arthur Gibbs,4460,Collingwood
1897,Wal Gillard,4461,Collingwood
1897,Jim Gregory,4462,Collingwood
1897,Frank Hailwood,4463,Collingwood
1897,Rhoda McDonald,4471,Collingwood
1897,Jack Monohan,4472,Collingwood
1897,Bill OBrien,4473,Collingwood
1897,Charlie Pannam,4474,Collingwood
1897,Tom Paterson,4475,Collingwood
1897,Dick Poole,4476,Collingwood
1897,Bill Proudfoot,4477,Collingwood
1897,Charlie Sime,4478,Collingwood
1897,Archie Smith,4479,Collingwood
1897,Billy Strickland,4481,Collingwood
1897,Lardie Tulloch,4483,Collingwood
1897,George Williams,4484,Collingwood
1897,Bill Ahern,4239,St Kilda
1897,Harry Aylwin,4240,St Kilda
1897,Alf Bedford,4241,St Kilda
1897,Billy Beggs,4242,St Kilda
1897,Danny Dunne,4249,St Kilda
1897,Ernie Dunne,4250,St Kilda
1897,Harry Gower,4251,St Kilda
1897,Ted Hall,4253,St Kilda
1897,Algy Hay,4254,St Kilda
1897,Ernest Jones,4258,St Kilda
1897,Arch Lowe,4259,St Kilda
1897,Bill Matthews,4260,St Kilda
1897,Tom McNamara,4263,St Kilda
1897,Bill Newton,4267,St Kilda
1897,Joe OGrady,4268,St Kilda
1897,Syd Phillips,4270,St Kilda
1897,Billy Shaw,4272,St Kilda
1897,Ernie Stewart,4274,St Kilda
1897,Reg Stewart,4276,St Kilda
1897,Bill Turner,4277,St Kilda
1897,Bill Ahern,4415,Carlton
1897,Jimmy Aitken,4416,Carlton
1897,Bob Armstrong,4417,Carlton
1897,Tom Blake,4419,Carlton
1897,Otto Buck,4421,Carlton
1897,Bob Cameron,4423,Carlton
1897,Bill Casey,4424,Carlton
1897,Arthur Cummins,4427,Carlton
1897,Henry Dunne,4428,Carlton
1897,Brook Hannah,4432,Carlton
1897,Ted Heffernan,4433,Carlton
1897,George Johnston,4435,Carlton
1897,Henry McPetrie,4439,Carlton
1897,Wally OCock,4441,Carlton
1897,Joe Paton,4442,Carlton
1897,Jack Reekie,4445,Carlton
1897,Tom Sweetman,4448,Carlton
1897,Ernie Walton,4450,Carlton
1897,Bill Weir,4451,Carlton
1897,Bill Woodhouse,4453,Carlton
1897,Ivan Astruc,4344,Fitzroy
1897,Tom Banks,4345,Fitzroy
1897,Jack Dalton,4349,Fitzroy
1897,Pat Descrimes,4351,Fitzroy
1897,Jim Grace,4352,Fitzroy
1897,Mick Grace,4353,Fitzroy
1897,Pat Hickey,4354,Fitzroy
1897,Ern Jenkins,4356,Fitzroy
1897,Chris Kiernan,4358,Fitzroy
1897,Percy Kimberley,4359,Fitzroy
1897,Roger Lamley,4360,Fitzroy
1897,Dick McCabe,4361,Fitzroy
1897,Sam McMichael,4363,Fitzroy
1897,Bill McSpeerin,4364,Fitzroy
1897,Dan Moriarty,4365,Fitzroy
1897,Geoff Moriarty,4366,Fitzroy
1897,Arch Muirhead,4367,Fitzroy
1897,Jerry Nolan,4369,Fitzroy
1897,Ted Staniland,4378,Fitzroy
1897,Jim Whelan,4379,Fitzroy
1897,Jim Anderson,4308,Essendon
1897,Son Barry,4310,Essendon
1897,Arthur Cleghorn,4313,Essendon
1897,Maurie Collins,4315,Essendon
1897,Tod Collins,4316,Essendon
1897,Jim Darcy,4318,Essendon
1897,Charlie Forbes,4320,Essendon
1897,Johnny Graham,4322,Essendon
1897,Joe Groves,4323,Essendon
1897,George Hastings,4324,Essendon
1897,Ted Kinnear,4326,Essendon
1897,George Martin,4328,Essendon
1897,Bob McCormick,4329,Essendon
1897,Gus Officer,4332,Essendon
1897,Ned Officer,4333,Essendon
1897,Pat OLoughlin,4331,Essendon
1897,Bert Salkeld,4335,Essendon
1897,George Stuckey,4337,Essendon
1897,Norm Waugh,4341,Essendon
1897,Harry Wright,4343,Essendon
1897,Peter Burns,4384,Geelong
1897,Jack Conway,4386,Geelong
1897,Teddy Holligan,4390,Geelong
1897,Eddy James,4391,Geelong
1897,Paddy Leahy,4392,Geelong
1897,John Lucas,4393,Geelong
1897,Tom Maguire,4394,Geelong
1897,Firth McCallum,4395,Geelong
1897,Bill McKay,4396,Geelong
1897,Henry McShane,4397,Geelong
1897,Jim McShane,4398,Geelong
1897,Joe McShane,4399,Geelong
1897,Tom Mullen,4401,Geelong
1897,Jack Parkin,4403,Geelong
1897,Bob Paterson,4404,Geelong
1897,Billy Pincott,4406,Geelong
1897,Alf Pontin,4407,Geelong
1897,Jack Quinn,4408,Geelong
1897,Teddy Rankin,4409,Geelong
1897,Archie Thompson,4412,Geelong
1897,Fred Blackham,4201,Melbourne
1897,Herb Fry,4203,Melbourne
1897,Charlie Goding,4206,Melbourne
1897,Edwin Jenkyn,4211,Melbourne
1897,George Johnstone,4212,Melbourne
1897,Jack Leith,4214,Melbourne
1897,Austin Lewis,4215,Melbourne
1897,Bill McCulloch,4219,Melbourne
1897,Fred McGinis,4220,Melbourne
