Venue,BOM Station,Station Number
Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090
Bellerive Oval,  94029 HOBART (ELLERSLIE ROAD)                  -42.8897  147.3278 Jun 1893 Apr 2017  123.8  100   Y,94029
Blacktown,  67119 HORSLEY PARK EQUESTRIAN CENTRE AWS       -33.8510  150.8567 Sep 1997 Apr 2017   19.7   96   Y,67119
Carrara,  40764 GOLD COAST SEAWAY                        -27.9390  153.4283 Jul 1994 Apr 2017   22.8   94   Y,40764
Cazaly's Stadium,  31011 CAIRNS AERO                              -16.8736  145.7458 Sep 1942 Apr 2017   74.7  100   Y,31011
Docklands,  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y,86038
Football Park,  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y,23034
Gabba,  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y,40913
Kardinia Park,  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y,87184
M.C.G.,  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y,86038
Manuka Oval,  70351 CANBERRA AIRPORT                         -35.3088  149.2004 Sep 2008 Apr 2017    8.7   98   Y,70351
Marrara Oval,  14015 DARWIN AIRPORT                           -12.4239  130.8925 Jan 1941 Apr 2017   76.3  100   Y,14015
Princes Park,  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y,86038
S.C.G.,  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y,66062
Stadium Australia,  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y,66212
Subiaco,   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y,9225
Sydney Showground,  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y,66212
Traeger Park,  14015 DARWIN AIRPORT                           -12.4239  130.8925 Jan 1941 Apr 2017   76.3  100   Y,14015
Wellington,#N/A,0
York Park,  91237 LAUNCESTON (TI TREE BEND)                -41.4194  147.1219 May 1980 Apr 2017   37.0  100   Y,91237
